vendor_name,partner_detail_id,thea_id,po_fill_rate_qty_level,po_fill_rate_ucode_level,on_time_delivery_rate,median_lead_time,perfect_order_rate,expired_near_expiry_items_received,damaged_items_received,pr_count
MUTHU PHARMA- A UNIT OF ASCENT WELLNESS AND PHARMA ,31881,th205,100.00,100.00,100.00,1.00,100.00,0.00,0.00,1.00
ZUVENTUS HEALTHCARE LIMITED,38070,th205,100.00,100.00,66.67,1.00,50.00,0.00,0.00,0.00
SACHDEVA MEDICALS (U/O AHWSPL) (Prayagraj),30096,th205,100.00,100.00,100.00,1.00,100.00,0.00,0.00,0.00
JUBILANT GENERICS LIMITED,32571,th205,100.00,95.00,15.38,6.00,0.00,0.00,0.00,1.00
SRI ALAGU PHARMA(A UNIT OF AWPSPL)COIMBATORE,30864,th205,100.00,100.00,100.00,2.00,100.00,0.00,0.00,1.00
SPEEDY CURE HEALTH CARE (DYCINE),4796,th205,100.00,100.00,100.00,4.00,66.67,0.00,0.00,2.00
Avighna Medicare Private Limited,37111,th205,99.44,100.00,100.00,1.00,100.00,0.00,0.00,0.00
D. C. AGENCIES PRIVATE LIMITED (GHAZIPUR),13506,th205,99.33,100.00,100.00,6.00,100.00,0.00,0.00,0.00
Tirupati Enterprises - Fourrts,2707,th205,99.19,92.06,76.00,8.00,71.43,0.00,0.00,0.00
SREE KRISHNA PHARMACEUTICALS,2072,th205,97.62,87.72,4.97,1.00,19.44,0.00,0.00,791.00
AAYUSH PHARMA (U/O AWPSPL) (MR-GUW-LOK),37884,th205,97.35,85.71,100.00,7.00,50.00,0.00,0.00,0.00
AVIGHNA MEDICARE PRIVATE LIMITED,32663,th205,97.13,82.78,100.00,6.00,62.50,0.00,0.00,9.00
Himalaya Wellness Company,3443,th205,96.06,90.67,100.00,3.00,66.67,0.00,0.00,2.00
CAPLET INDIA PVT.LTD,3573,th205,92.20,76.67,100.00,6.00,44.44,0.00,0.00,16.00
VPI MEDISALES - A UNIT OF ASCENT  WELLNESS AND PHARMA  SOLUTIONS PRIVATE LIMITED,31971,th205,90.77,90.00,100.00,1.00,100.00,0.00,0.00,0.00
TEJAS PHARMA,5325,th205,90.18,87.29,82.38,3.00,55.80,0.00,0.00,170.00
SHINE PHARMACEUTICALS LIMTED,3403,th205,90.05,93.59,100.00,2.00,66.67,0.00,0.00,48.00
SHAH AND KOTHARI BROTHERS,1500,th205,88.60,88.24,100.00,6.00,64.29,0.00,0.00,8.00
ARIHANT MEDICO,303,th205,88.37,81.70,86.27,2.60,39.47,2.00,0.00,14.00
GOBINDA DISTRIBUTORS (P) LTD,7312,th205,88.12,88.57,61.40,6.00,20.00,0.00,0.00,1.00
KING ENTERPRISE,29661,th205,87.77,78.52,74.49,7.00,20.83,0.00,0.00,323.00
BAYER ZYDUS PHARMA PVT. LTD,1696,th205,85.91,81.25,100.00,5.00,69.23,0.00,0.00,9.00
B G DISTRIBUTORS PRIVATE LIMITED(P&G),29231,th205,85.61,66.67,100.00,2.00,10.53,0.00,0.00,10.00
WELLNESS PHARMA,37158,th205,85.43,87.17,90.77,2.00,58.59,0.00,0.00,73.00
LOREAL INDIA PRIVATE LIMITED,32689,th205,83.33,66.67,100.00,0.00,66.67,0.00,0.00,0.00
SACHDEVA MEDICALS,7825,th205,83.29,66.67,100.00,0.00,66.67,0.00,0.00,0.00
MAA TARA MEDICAL AGENCY,30865,th205,83.21,87.78,47.03,6.60,28.57,0.00,0.00,4.00
JAIN DISTRIBUTORS,277,th205,83.20,80.56,89.75,5.30,20.31,0.00,0.00,582.00
4MATION BIOSCIENCES PRIVATE LIMITED(LYCEUM),32284,th205,83.14,100.00,94.52,4.00,76.92,0.00,0.00,1.00
AZKKA PHARMACEUTICALS PRIVATE LIMITED.,9841,th205,82.35,100.00,100.00,2.00,66.67,0.00,0.00,4.00
MEDLEY PHARMACEUTICALS LTD,3515,th205,82.14,92.31,99.11,4.00,58.33,0.00,0.00,74.00
ARISTO PHARMACEUTICALS PVT LTD,301,th205,67.98,78.62,24.29,9.00,11.36,0.00,0.00,318.00
EMAMI LIMITED,2163,th205,67.57,57.14,78.95,5.00,7.69,0.00,0.00,0.00
SUPERLIFE HEALTHCARE PRIVATE LIMITED,233,th205,67.39,80.99,45.00,9.00,10.77,0.00,0.00,451.00
